[Name]
User Points

[Data]
"Time [s]","Monitor Point: Fxx [N]","Monitor Point: Fyy [N]"
6.47739395e-02,1.12351416e+03,-1.91757813e+01
6.83766231e-02,1.18192017e+03,-1.74843750e+01
7.19819814e-02,1.25714905e+03,-1.92070313e+01
7.55886212e-02,1.34309497e+03,-2.19765625e+01
7.91952610e-02,1.43926233e+03,-2.45234375e+01
8.28002095e-02,1.60702222e+03,-2.76054688e+01
8.64022449e-02,1.74801819e+03,-3.41601563e+01
9.00006816e-02,1.87353809e+03,-3.32031250e+01
9.35946628e-02,2.01973840e+03,-3.32539063e+01
9.71834436e-02,2.18407642e+03,-3.42968750e+01
1.00766473e-01,2.37187354e+03,-3.80039063e+01
1.04343332e-01,2.56489722e+03,-3.91328125e+01
1.07913800e-01,2.77969116e+03,-4.20878906e+01
1.11477703e-01,3.01291187e+03,-4.64707031e+01
1.15035228e-01,3.26401904e+03,-5.00957031e+01
1.18586183e-01,3.51853174e+03,-5.29589844e+01
1.22130752e-01,3.78924512e+03,-5.73710938e+01
1.25669226e-01,4.05176123e+03,-5.60253906e+01
1.29202023e-01,4.33777637e+03,-5.74121094e+01
1.32729530e-01,4.64339551e+03,-6.28750000e+01
1.36252165e-01,4.95938379e+03,-6.94531250e+01
1.39770433e-01,5.27689795e+03,-7.45292969e+01
1.43284947e-01,5.57255957e+03,-7.14824219e+01
1.46796525e-01,5.91809766e+03,-7.88671875e+01
1.50305450e-01,6.23782666e+03,-7.99003906e+01
1.53812736e-01,6.56608545e+03,-8.22773438e+01
1.57319054e-01,6.90488525e+03,-8.73945313e+01
1.60825372e-01,7.24758203e+03,-9.29433594e+01
1.64331675e-01,7.58607324e+03,-9.80937500e+01
1.67839020e-01,7.91655371e+03,-1.02826172e+02
1.71348095e-01,8.23733105e+03,-1.06908203e+02
1.74859583e-01,8.55063379e+03,-1.11078133e+02
1.78374097e-01,8.85486426e+03,-1.15072273e+02
1.81892127e-01,9.14758887e+03,-1.18964844e+02
1.85414180e-01,9.42461914e+03,-1.23966797e+02
1.88940689e-01,9.67687305e+03,-1.30314453e+02
1.92472175e-01,9.90482617e+03,-1.36357422e+02
1.96009099e-01,1.01125742e+04,-1.41044922e+02
1.99551970e-01,1.03008555e+04,-1.45669922e+02
2.03101248e-01,1.04663926e+04,-1.51835938e+02
2.06657365e-01,1.06064141e+04,-1.58923828e+02
2.10220709e-01,1.06969023e+04,-1.60427734e+02
2.13791758e-01,1.07678203e+04,-1.62455078e+02
2.17370734e-01,1.08416270e+04,-1.68644531e+02
2.20957905e-01,1.09176162e+04,-1.80365234e+02
2.24553615e-01,1.09768730e+04,-1.94580078e+02
2.28158191e-01,1.09996680e+04,-2.08429688e+02
2.31771871e-01,1.09807393e+04,-2.18490234e+02
2.35394761e-01,1.09308047e+04,-2.24517578e+02
2.39026859e-01,1.08630586e+04,-2.28691406e+02
2.42668152e-01,1.07841191e+04,-2.34625000e+02
2.46318504e-01,1.07380928e+04,-2.42246094e+02
2.49978304e-01,1.06310703e+04,-2.45076172e+02
2.53647178e-01,1.05696201e+04,-2.46562500e+02
2.57323295e-01,1.04038828e+04,-2.56652344e+02
2.61007190e-01,1.03193398e+04,-2.61375000e+02
2.64697462e-01,1.01337666e+04,-2.78507813e+02
2.68394828e-01,1.00438340e+04,-2.85736328e+02
2.72098243e-01,9.96063672e+03,-2.94650391e+02
2.75807947e-01,9.71665918e+03,-3.08191406e+02
2.79524297e-01,9.60035938e+03,-3.12650391e+02
2.83246189e-01,9.49420703e+03,-3.18015625e+02
2.86973596e-01,9.38016895e+03,-3.21964844e+02
2.90706307e-01,9.24280664e+03,-3.24939453e+02
2.94443935e-01,9.08114258e+03,-3.27900391e+02
2.98186034e-01,8.90553711e+03,-3.31060547e+02
3.01932096e-01,8.73044336e+03,-3.34337891e+02
3.05681735e-01,8.56710156e+03,-3.38130859e+02
3.09434772e-01,8.42073242e+03,-3.42617188e+02
3.13191056e-01,8.29148926e+03,-3.47861328e+02
3.16950440e-01,8.17678125e+03,-3.53371094e+02
3.20712894e-01,8.07336475e+03,-3.58902344e+02
3.24478209e-01,7.97800488e+03,-3.64347656e+02
3.28246295e-01,7.88891992e+03,-3.69423828e+02
3.32016975e-01,7.80579248e+03,-3.73914063e+02
3.35789949e-01,7.71148145e+03,-3.79000000e+02
3.39565188e-01,7.66334082e+03,-3.80697266e+02
3.43342632e-01,7.61431836e+03,-3.82126953e+02
3.47121894e-01,7.55421387e+03,-3.83841797e+02
3.50903034e-01,7.52034229e+03,-3.84183594e+02
3.54685575e-01,7.47826270e+03,-3.85126953e+02
3.58469665e-01,7.45404688e+03,-3.84849609e+02
3.62254977e-01,7.42460010e+03,-3.83980469e+02
3.66041511e-01,7.40537207e+03,-3.82369141e+02
3.69829297e-01,7.39161328e+03,-3.79359375e+02
3.73618484e-01,7.37985986e+03,-3.74615234e+02
3.77409130e-01,7.36805615e+03,-3.68207031e+02
3.81201416e-01,7.35636523e+03,-3.60410156e+02
3.84995371e-01,7.34580566e+03,-3.51570313e+02
3.88791054e-01,7.33739160e+03,-3.41667969e+02
3.92588586e-01,7.33190381e+03,-3.30710938e+02
3.96387994e-01,7.32956934e+03,-3.18726563e+02
4.00189400e-01,7.33000098e+03,-3.05558594e+02
4.03992772e-01,7.33287646e+03,-2.91230469e+02
4.07798171e-01,7.33795898e+03,-2.75820313e+02
4.11605626e-01,7.34534766e+03,-2.59361328e+02
4.15415078e-01,7.35508496e+03,-2.41998047e+02
4.19226527e-01,7.36722754e+03,-2.23615234e+02
4.23039973e-01,7.38187402e+03,-2.04134766e+02
4.26855415e-01,7.39905420e+03,-1.83587891e+02
4.30672854e-01,7.41838135e+03,-1.61775391e+02
4.34492260e-01,7.43926416e+03,-1.38556641e+02
4.38313693e-01,7.46114941e+03,-1.14089844e+02
4.42137152e-01,7.48354150e+03,-8.83906250e+01
4.45962697e-01,7.50612158e+03,-6.16796875e+01
4.49790329e-01,7.52850977e+03,-3.39550781e+01
4.53620136e-01,7.55037158e+03,-5.12304688e+00
4.57452118e-01,7.57128662e+03,2.49765625e+01
4.61286306e-01,7.59090234e+03,5.62773438e+01
4.65122759e-01,7.60881836e+03,8.87734375e+01
4.68961477e-01,7.62479395e+03,1.22414063e+02
4.72802550e-01,7.63878418e+03,1.57015625e+02
4.76645976e-01,7.65104346e+03,1.92585938e+02
4.80491847e-01,7.66177393e+03,2.29183594e+02
4.84340221e-01,7.67093555e+03,2.66773438e+02
4.88191098e-01,7.67844434e+03,3.05296875e+02
4.92044598e-01,7.68428076e+03,3.44781250e+02
4.95900750e-01,7.68857080e+03,3.85025391e+02
4.99759614e-01,7.69140039e+03,4.26066406e+02
5.03621221e-01,7.69282715e+03,4.67955078e+02
5.07485628e-01,7.69281006e+03,5.10570313e+02
5.11352897e-01,7.69136719e+03,5.53978516e+02
5.15223026e-01,7.68857275e+03,5.98193359e+02
5.19096017e-01,7.68452051e+03,6.43158203e+02
5.22971869e-01,7.67931152e+03,6.88812500e+02
5.26850700e-01,7.67301318e+03,7.34986328e+02
5.30732393e-01,7.66559521e+03,7.81626953e+02
5.34617066e-01,7.65707178e+03,8.28708984e+02
5.38504660e-01,7.64742041e+03,8.76216797e+02
5.42395175e-01,7.63687793e+03,9.23978516e+02
5.46288610e-01,7.62556836e+03,9.71806641e+02
5.50184965e-01,7.61366553e+03,1.01955078e+03
5.54084301e-01,7.60127197e+03,1.06716016e+03
5.57986557e-01,7.58857715e+03,1.11450195e+03
5.61891794e-01,7.57577441e+03,1.16153320e+03
5.65799892e-01,7.56286719e+03,1.20833398e+03
5.69710851e-01,7.54982715e+03,1.25505469e+03
5.73624730e-01,7.53665967e+03,1.30180859e+03
5.77541471e-01,7.52345264e+03,1.34850000e+03
5.81461072e-01,7.51019531e+03,1.39483008e+03
5.85383475e-01,7.49689160e+03,1.44068945e+03
5.89308739e-01,7.48345605e+03,1.48583984e+03
5.93236804e-01,7.46978320e+03,1.53035547e+03
5.97167671e-01,7.45584814e+03,1.57418750e+03
6.01101398e-01,7.44168604e+03,1.61729297e+03
6.05037928e-01,7.42729102e+03,1.65959375e+03
6.08977258e-01,7.41263965e+03,1.70086719e+03
6.12919331e-01,7.39779199e+03,1.74093164e+03
6.16864264e-01,7.38272119e+03,1.77958398e+03
6.20811939e-01,7.36735840e+03,1.81662891e+03
6.24762416e-01,7.35160156e+03,1.85198633e+03
6.28715634e-01,7.33547803e+03,1.88554102e+03
6.32671595e-01,7.31907813e+03,1.91721484e+03
6.36630356e-01,7.30247168e+03,1.94701367e+03
6.40591860e-01,7.28576025e+03,1.97471094e+03
6.44556105e-01,7.26892676e+03,2.00025977e+03
6.48523033e-01,7.25200879e+03,2.02348828e+03
6.52492762e-01,7.23500684e+03,2.04410547e+03
6.56465173e-01,7.21785254e+03,2.06208984e+03
6.60440326e-01,7.20045703e+03,2.07741602e+03
6.64418221e-01,7.18279004e+03,2.08994531e+03
6.68398798e-01,7.16489355e+03,2.09952734e+03
6.72382116e-01,7.14683545e+03,2.10619141e+03
6.76368117e-01,7.12866211e+03,2.10971484e+03
6.80356860e-01,7.11037109e+03,2.11005273e+03
6.84348285e-01,7.09192578e+03,2.10700781e+03
6.88342392e-01,7.07332910e+03,2.10049219e+03
6.92339182e-01,7.05463867e+03,2.09045898e+03
6.96338713e-01,7.03600684e+03,2.07687695e+03
7.00340867e-01,7.01759375e+03,2.05974414e+03
7.04345703e-01,6.99936133e+03,2.03900977e+03
7.08353162e-01,6.98116699e+03,2.01472070e+03
7.12363303e-01,6.96281494e+03,1.98666406e+03
7.16376066e-01,6.94427148e+03,1.95476758e+03
7.20391393e-01,6.92548730e+03,1.91878711e+03
7.24409401e-01,6.90648828e+03,1.87857422e+03
7.28429914e-01,6.88727881e+03,1.83402148e+03
7.32453048e-01,6.86796045e+03,1.78514844e+03
7.36478746e-01,6.84854785e+03,1.73196289e+03
7.40506947e-01,6.82904688e+03,1.67444727e+03
7.44537711e-01,6.80944238e+03,1.61264258e+03
7.48570979e-01,6.78977930e+03,1.54650781e+03
7.52606690e-01,6.76998340e+03,1.47600391e+03
7.56644905e-01,6.75009473e+03,1.40111328e+03
7.60685563e-01,6.73007715e+03,1.32176758e+03
7.64728606e-01,6.70999463e+03,1.23801172e+03
7.68774152e-01,6.68986523e+03,1.14999023e+03
7.72822022e-01,6.66971533e+03,1.05788477e+03
7.76872277e-01,6.64962598e+03,9.61679688e+02
7.80924916e-01,6.62962402e+03,8.61498047e+02
7.84979820e-01,6.60968457e+03,7.57460938e+02
7.89037108e-01,6.58987061e+03,6.49617188e+02
7.93096602e-01,6.57020898e+03,5.38181641e+02
7.97158420e-01,6.55065039e+03,4.23199219e+02
8.01222444e-01,6.53120215e+03,3.04763672e+02
8.05288732e-01,6.51189648e+03,1.83068359e+02
